,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
438,2014-10-02,39.561,60062,55837,154316,158541,428756,517,606,189,211,1523
439,2014-10-03,39.957,60317,56472,156677,160522,433988,517,624,192,218,1551
440,2014-10-06,39.73,60302,57441,159761,162622,440126,539,654,193,218,1604
441,2014-10-07,39.904,60987,55740,158472,163719,438918,536,662,195,220,1613
442,2014-10-08,40.0,62577,53512,164360,173425,453874,537,674,198,229,1638
443,2014-10-09,40.1475,64906,56317,166344,174933,462500,534,688,198,234,1654
444,2014-10-10,40.325,65313,59316,166132,172129,462890,558,704,209,233,1704
445,2014-10-13,40.4925,66663,59870,168960,175753,471246,576,713,215,244,1748
446,2014-10-14,40.92,73393,64051,180855,190197,508496,593,734,213,255,1795
447,2014-10-15,40.4505,49318,28177,117960,139101,334556,418,376,139,163,1096
448,2014-10-16,40.869,58941,32546,123544,149939,364970,478,454,156,177,1265
449,2014-10-17,40.7525,62184,35398,126330,153116,377028,502,475,160,185,1322
450,2014-10-20,41.0375,65083,39519,129654,155218,389474,518,515,167,191,1391
451,2014-10-21,40.964,65349,43648,136092,157793,402882,520,532,166,192,1410
452,2014-10-22,41.4195,68367,44601,138173,161939,413080,536,541,172,201,1450
453,2014-10-23,41.715,68789,46066,845312,868035,1828202,545,594,190,229,1558
454,2014-10-24,41.906,76695,51497,1063849,1089047,2281088,596,641,196,270,1703
455,2014-10-27,42.28,77483,59094,1132517,1150906,2420000,600,714,198,301,1813
456,2014-10-28,42.468,79812,65580,1806755,1820987,3773134,652,802,229,317,2000
457,2014-10-29,43.2,83490,70066,2061155,2074579,4289290,736,871,249,338,2194
458,2014-10-30,41.6445,89644,83951,2374507,2380200,4928302,823,971,274,384,2452
459,2014-10-31,43.034,92459,84717,2777077,2784819,5739072,852,996,287,394,2529
460,2014-11-03,43.608,92682,88358,2781318,2785642,5748000,870,1038,291,403,2602
461,2014-11-05,44.95,92689,87684,3882515,3887520,7950408,918,1060,319,428,2725
462,2014-11-06,46.8675,102743,94053,4139999,4148689,8485484,991,1126,353,461,2931
463,2014-11-07,46.65,109157,95931,3691896,3705122,7602106,1068,1195,378,479,3120
464,2014-11-10,45.8525,113498,98229,3826174,3841443,7879344,1145,1274,428,538,3385
465,2014-11-11,46.3515,126537,105196,3836138,3857479,7925350,1169,1307,434,576,3486
466,2014-11-12,45.9615,127517,109194,3795364,3813687,7845762,1203,1330,448,590,3571
467,2014-11-13,46.82,132569,113920,3751167,3769816,7767472,1266,1373,460,597,3696
468,2014-11-14,47.1735,132859,116430,3856950,3873379,7979618,1280,1413,476,610,3779
469,2014-11-17,47.1045,92727,69907,3808804,3831624,7803062,851,717,331,360,2259
470,2014-11-18,46.9025,94445,73827,4017133,4037751,8223156,898,804,352,381,2435
471,2014-11-19,46.861,97943,75965,4018324,4040302,8232534,923,841,355,384,2503
472,2014-11-20,46.152,97277,77497,4038004,4057784,8270562,947,873,364,394,2578
473,2014-11-21,45.714,96445,79743,4041181,4057883,8275252,984,944,377,409,2714
474,2014-11-24,44.997,112338,93955,4053954,4072337,8332584,1084,1011,396,425,2916
