,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
2258,2021-12-15,73.71,640870,301870,612617,951617,2506974,15060,4208,268,132,19668
2259,2021-12-16,73.7525,364151,336889,630257,657519,1988816,8429,6331,180,138,15078
2260,2021-12-17,74.13,487736,314769,594455,767422,2164382,10549,5372,201,123,16245
2261,2021-12-20,74.145,504937,313671,598111,789377,2206096,11064,5062,200,127,16453
2262,2021-12-21,73.9525,455364,323225,635067,767206,2180862,10746,5938,192,129,17005
2263,2021-12-22,73.74,445624,414789,692017,722852,2275282,9934,7549,166,149,17798
2264,2021-12-23,73.3,487428,359551,599757,727634,2174370,10563,7836,170,153,18722
2265,2021-12-24,73.65,532455,307056,510507,735906,2085924,11183,5924,190,134,17431
2266,2021-12-27,73.4325,555591,297652,517672,775611,2146526,10912,6212,190,136,17450
2267,2021-12-28,73.7175,630603,287156,516783,860230,2294772,13015,4504,200,122,17841
2268,2021-12-29,73.9925,623483,312603,602879,913759,2452724,12474,4497,207,115,17293
2269,2021-12-30,74.68,546432,408353,655761,793840,2404386,11848,5322,211,121,17502
2270,2022-01-03,74.5425,479953,414594,682564,747923,2325034,11265,5218,187,141,16811
2271,2022-01-04,75.3625,509487,544911,783232,747808,2585438,11938,7689,206,136,19969
2272,2022-01-05,76.8,495615,579555,809645,725705,2610520,11501,8320,188,132,20141
2273,2022-01-06,76.3175,402003,687735,982227,696495,2768460,9459,10772,194,137,20562
2274,2022-01-07,75.75,459849,588341,838340,709848,2596378,9728,10022,192,142,20084
2275,2022-01-10,75.0,465191,574687,927847,818351,2786076,11688,9110,195,146,21139
2276,2022-01-11,74.45,511506,542676,848632,817462,2720276,11707,8983,188,161,21039
2277,2022-01-12,74.7075,545045,494191,781197,832051,2652484,12076,8312,194,158,20740
2278,2022-01-13,76.2575,591730,609705,874537,856562,2932534,12687,8269,232,127,21315
2279,2022-01-14,76.21,585884,553968,899415,931331,2970598,11720,8330,233,133,20416
2280,2022-01-17,76.0925,532932,535741,905622,902813,2877108,10290,8411,235,135,19071
2281,2022-01-18,76.91,583236,558346,848867,873757,2864206,11399,8852,240,134,20625
2282,2022-01-19,76.1775,483532,529177,836173,790528,2639410,9276,9120,187,158,18741
2283,2022-01-20,76.6825,413098,508916,876867,781049,2579930,9640,8662,203,144,18649
2284,2022-01-21,77.425,428895,575617,908954,762232,2675698,10585,9987,226,141,20939
